abandon'd	abandoned
ingag'd	engaged
ingrail'd	engrailed
ingross'd	engrossed
ingulph'd	engulfed
inhal'd	inhaled
injoin'd	enjoined
injoy'd	enjoyed
injoyn'd	enjoined
injur'd	injured
inlarg'd	enlarged
inliven'd	enlivened
inquir'd	inquired
inrag'd	enraged
inraptur'd	enraptured
inrich'd	enriched
inroll'd	enrolled
inscrib'd	inscribed
insculptur'd	ensculptured
inshrin'd	enshrined
inslam'd	inflamed
inslav'd	enslaved
inspir'd	inspired
install'd	installed
instanc'd	instanced
instill'd	instilled
insur'd	insured
int'rest	interest
int'rests	interests
intail'd	entailed
intemp'rate	intemperate
inter'd	interred
interchang'd	interchanged
interfer'd	interfered
interlac'd	interlaced
interlin'd	interlined
intermix'd	intermixed
interpos'd	interposed
interr'd	interred
interspers'd	interspersed
interven'd	intervened
inthron'd	enthroned
intitl'd	entitled
intitul'd	entitled
intomb'd	entombed
intranc'd	entranced
intrench'd	entrenched
introduc'd	introduced
intwin'd	entwined
inur'd	inured
inurn'd	inurned
inveigh'd	inveighed
invelop'd	enveloped
invenom'd	envenomed
inviron'd	environed
invok'd	invoked
involv'd	involved
ir'd	ired
is'nt	isn't
issu'd	issued
it'd	it'd
iv'ry	ivory
ivy'd	ivied
jaundic'd	jaundiced
jeer'd	jeered
jewell'd	jewelled
jobb'd	jobbed
jockey'd	jockeyed
jog'd	jogged
jogg'd	jogged
join'd	joined
jointur'd	jointured
journey'd	journeyed
joy'd	joyed
joyn'd	joined
judg'd	judged
jumbl'd	jumbled
jump'd	jumped
justify'd	justified
ken'd	kenned
kick'd	kicked
kidnapp'd	kidnapped
kill'd	killed
kindl'd	kindled
kiss'd	kissed
kitten'd	kittened
kneel'd	kneeled
knobb'd	knobbed
knock'd	knocked
know'd	knew
l'd	led
la'ship	ladyship
lab'rer	labourer
lab'ring	labouring
labor'd	laboured
labour'd	laboured
lac'd	laced
lack'd	lacked
lagg'd	lagged
lam'd	lamed
lampoon'd	lampooned
lanc'd	lanced
lanch'd	lanced
languish'd	languished
lap'd	lapped
lash'd	lashed
laugh'd	laughed
launch'd	launched
laurel'd	laureled
laurell'd	laurelled
lav'd	laved
lavish'd	lavished
lay'd	laid
leagu'd	leagued
lean'd	leaned
leap'd	leapt
learn'd	learned
leav'd	leaved
leav'st	leavest
leer'd	leered
leg'd	legged
legg'd	legged
length'ning	lengthening
lengthen'd	lengthened
less'ning	lessening
lessen'd	lessened
lesson'd	lessoned
letter'd	lettered
level'd	levelled
levell'd	levelled
levy'd	levied
lib'ral	liberal
libell'd	libelled
licenc'd	licensed
licens'd	licensed
lick'd	licked
light'ning	lightning
light'nings	lightnings
light-wing'd	light-winged
lighten'd	lightened
lik'd	liked
liken'd	likened
lim'd	limed
limb'd	limbed
limn'd	limned
limp'd	limped
lin'd	lined
ling'ring	lingering
linger'd	lingered
link'd	linked
lisp'd	lisped
list'ning	listening
listen'd	listened
litter'd	littered
liv'd	lived
liv'ry	livery
liv'ry'd	liveried
liv'st	livest
livery'd	liveried
loath'd	loathed
lock'd	locked
lodg'd	lodged
loi'd	loied
loit'ring	loitering
loiter'd	loitered
loll'd	lolled
long'd	longed
long-liv'd	long-lived
long-lov'd	long-loved
look'd	looked
look'st	lookest
loos'd	loosed
loosen'd	loosened
lop'd	loped
lopp'd	lopped
lour'd	loured
lov'd	loved
lov'st	lovest
low'd	lowed
low'r'd	lowered
low'ring	lowering
low'rs	lowers
lower'd	lowered
lug'd	lugged
lugg'd	lugged
lull'd	lulled
lur'd	lured
lurk'd	lurked
ly'd	lied
ma'amselle	mademoiselle
ma'm	ma'am
mad'ning	maddening
madd'ning	maddening
madden'd	maddened
maeander'd	meandered
magnify'd	magnified
maim'd	maimed
maintain'd	maintained
mak'st	makest
malign'd	maligned
man'd	maned
manag'd	managed
mangl'd	mangled
mann'd	manned
manner'd	mannered
mantl'd	mantled
manufactur'd	manufactured
manur'd	manured
many-colour'd	many-coloured
march'd	marched
marg'ret	margaret
mark'd	marked
marr'd	marred
marry'd	married
marshal'd	marshalled
marshall'd	marshalled
martyr'd	martyred
marvel'd	marvelled
marvell'd	marvelled
mask'd	masked
master'd	mastered
match'd	matched
matter'd	mattered
matur'd	matured
maul'd	mauled
maz'd	mazed
mean'd	meaned
mean'st	meanest
meand'ring	meandering
measur'd	measured
med'cine	medicine
med'cines	medicines
meddl'd	meddled
meek-ey'd	meek-eyed
mellow'd	mellowed
mem'ry	memory
menac'd	menaced
mention'd	mentioned
metamorphos'd	metamorphosed
methodiz'd	methodised
mew'd	mewed
might'st	mightest
milk'd	milked
mimic'd	mim-iced
mimick'd	mimicked
minc'd	minced
mingl'd	mingled
minister'd	ministered
mis'ry	misery
misapply'd	misapplied
miscall'd	miscalled
miscarry'd	miscarried
misemploy'd	misemployed
misinform'd	misinformed
misplac'd	misplaced
miss'd	missed
misus'd	misused
miter'd	mitered
mix'd	mixed
moan'd	moaned
mobb'd	mobbed
mock'd	mocked
mod'rate	moderate
model'd	modelled
modell'd	modelled
modify'd	modified
moisten'd	moistened
money'd	moneyed
monopoliz'd	monopolised
monst'rous	monstrous
moor'd	moored
mop'd	moped
moraliz'd	moralised
mortgag'd	mortgaged
mortify'd	mortified
moss'd	mossed
moss-crown'd	moss-crowned
mould'ring	mouldering
moulder'd	mouldered
mourn'd	mourned
mouth'd	mouthed
mov'd	moved
mow'd	mowed
much-lov'd	much-loved
mull'd	mulled
multiply'd	multiplied
murd'rer	murderer
murd'rers	murderers
murd'ring	murdering
murd'rous	murderous
murder'd	murdered
murm'ring	murmuring
murmur'd	murmured
murther'd	murdered
mus'd	mused
muster'd	mustered
mutiny'd	mutinied
mutt'ring	muttering
mutter'd	muttered
myst'ries	mysteries
myst'ry	mystery
n'd	ned
nabb'd	nabbed
nail'd	nailed
nam'd	named
narrow'd	narrowed
nat'ral	natural
natur'd	natured
naturaliz'd	naturalised
ne'er	never
ne're	never
nectar'd	nectared
need'st	needest
neigh'd	neighed
neighb'ring	neighbouring
nerv'd	nerved
new-fashion'd	new-fashioned
new-fledg'd	new-fledged
new-wak'd	new-waked
nick'd	nicked
nipp'd	nipped
nos'd	nosed
notch'd	notched
notic'd	noticed
nourish'd	nourished
num'rous	numerous
numb'd	numbed
number'd	numbered
nurs'd	nursed
nurtur'd	nurtured
o'er	over
o'er-labour'd	overlaboured
o'er-run	overrun
o'ercast	overcast
o'ercharg'd	overcharged
o'ercome	overcome
o'erflow	overflow
o'erflow'd	overflowed
o'erflowing	overflowing
o'erflows	overflows
o'ergrown	overgrown
o'erhang	overhang
o'erhung	overhung
o'erjoy'd	overjoyed
o'erlabour'd	overlaboured
o'erleap'd	overleapt
o'erlook	overlook
o'erlook'd	overlooked
o'erlooks	overlooks
o'erpow'r'd	overpowered
o'erpower'd	overpowered
o'ershade	overshade
o'ershadow'd	overshadowed
o'erspread	overspread
o'erspreads	overspreads
o'ertake	overtake
o'erthrew	overthrew
o'erthrow	overthrow
o'erthrown	overthrown
o'ertook	overtook
o'erturn	overturn
o'erturn'd	overturned
o'erwhelm	overwhelm
o'erwhelm'd	overwhelmed
o'erwhelming	overwhelming
o'erwhelms	overwhelms
o're	over
oar'd	oared
obey'd	obeyed
oblig'd	obliged
obscur'd	obscured
observ'd	observed
obtain'd	obtained
occasion'd	occasioned
occupy'd	occupied
occur'd	occurred
occurr'd	occurred
od'rous	odorous
off'ring	offering
off'rings	offerings
offer'd	offered
oil'd	oiled
oldfashion'd	old-fashioned
oliv'd	olived
omen'd	omened
once-lov'd	once-loved
op'd	oped
op'ning	opening
ope'd	oped
open'd	opened
oppos'd	opposed
oppress'd	oppressed
orb'd	orbed
ordain'd	ordained
order'd	ordered
organis'd	organised
organiz'd	organised
orphan'd	orphaned
ou'd	owed
out-stretch'd	out-stretched
outlaw'd	outlawed
outliv'd	outlived
outrag'd	outraged
outshin'd	out-shined
outstretch'd	outstretched
outstrip'd	outstripped
outstripp'd	outstripped
over-rul'd	overruled
overbalanc'd	overbalanced
overburthen'd	overburdened
overcharg'd	overcharged
overflow'd	overflowed
overjoy'd	overjoyed
overlook'd	overlooked
overpower'd	overpowered
overshadow'd	overshadowed
overturn'd	overturned
overwhelm'd	overwhelmed
ow'd	owed
ow'st	owest
own'd	owned
pac'd	paced
pacify'd	pacified
pack'd	packed
pain'd	pained
pair'd	paired
pal'd	paled
pale-ey'd	pale-eyed
pall'd	palled
palm'd	palmed
palsy'd	palsied
pamper'd	pampered
par'd	pared
parallel'd	paralleled
parallell'd	parallelled
paraphras'd	paraphrased
parcel'd	parcelled
parcell'd	parcelled
parch'd	parched
pardon'd	pardoned
parry'd	parried
parti-colour'd	parti-coloured
particolour'd	parti-coloured
particulariz'd	particularised
party-colour'd	parti-coloured
pass'd	passed
passion'd	passioned
pastur'd	pastured
patch'd	patched
patroniz'd	patronised
paus'd	paused
pav'd	paved
pavilion'd	pavilioned
paw'd	pawed
pawn'd	pawned
pay'd	paid
peach'd	peached
peal'd	pealed
peck'd	pecked
peel'd	peeled
peep'd	peeped
pen'd	penned
pencil'd	pencilled
penn'd	penned
pension'd	pensioned
peopl'd	peopled
pepper'd	peppered
perc'd	perced
perceiv'd	perceived
perch'd	perched
perform'd	performed
perfum'd	perfumed
perish'd	perished
perjur'd	perjured
perplex'd	perplexed
persever'd	persevered
persu'd	pursued
perus'd	perused
pester'd	pestered
petition'd	petitioned
petrify'd	petrified
pick'd	picked
pictur'd	pictured
piec'd	pieced
pierc'd	pierced
pigeon'd	pigeoned
pil'd	piled
pilfer'd	pilfered
pillag'd	pillaged
pillar'd	pillared
pillow'd	pillowed
pin'd	pined
pinch'd	pinched
pinion'd	pinioned
pink'd	pinked
pinn'd	pinned
pip'd	piped
piqu'd	piqued
pish'd	pished
pistol'd	pistoled
pitch'd	pitched
pity'd	pitied
plac'd	placed
plagu'd	plagued
plain'd	plained
plaister'd	plastered
plan'd	planed
plann'd	planned
play'd	played
play'r	player
play'rs	players
pleas'd	pleased
pledg'd	pledged
plough'd	ploughed
plow'd	ploughed
pluck'd	plucked
plum'd	plumed
plump'd	plumped
plunder'd	plundered
plung'd	plunged
ply'd	plied
poach'd	poached
pois'd	poised
pois'nous	poisonous
poison'd	poisoned
poiz'd	poised
polish'd	polished
poll'd	polled
pond'ring	pondering
pond'rous	ponderous
ponder'd	pondered
pop'd	popped
popp'd	popped
por'd	pored
portion'd	portioned
portray'd	portrayed
pos'd	posed
possess'd	possessed
postpon'd	postponed
pour'd	poured
pourtray'd	portrayed
pow'r	power
pow'rful	powerful
pow'rs	powers
powder'd	powdered
pox'd	poxed
poyson'd	poisoned
pr'ythee	prithee
practic'd	practised
practis'd	practised
prais'd	praised
pranc'd	pranced
prank'd	pranked
pray'd	prayed
pray'r	prayer
pray'rs	prayers
preach'd	preached
predestin'd	predestined
prefac'd	prefaced
prefer'd	preferred
preferr'd	preferred
prefix'd	prefixed
prejudg'd	prejudged
prejudic'd	prejudiced
premis'd	premised
prepar'd	prepared
prepossess'd	prepossessed
presag'd	presaged
prescrib'd	prescribed
preserv'd	preserved
press'd	pressed
presum'd	presumed
prevail'd	prevailed
prey'd	preyed
prick'd	pricked
prim'd	primed
primm'd	primmed
pris'ner	prisoner
pris'ners	prisoners
prison'd	prisoned
priviledg'd	privileged
privileg'd	privileged
priz'd	prized
prob'd	probed
proclaim'd	proclaimed
procur'd	procured
produc'd	produced
profan'd	profaned
profer'd	proffered
proferr'd	proferred
profess'd	professed
proffer'd	proffered
prolong'd	prolonged
promis'd	promised
pronounc'd	pronounced
prop'd	propped
propell'd	propelled
prophan'd	profaned
prophecy'd	prophecied
prophesy'd	prophesied
proportion'd	proportioned
propos'd	proposed
propp'd	propped
proscrib'd	proscribed
prosess'd	processed
prosp'rous	prosperous
prosper'd	prospered
prov'd	proved
provok'd	provoked
prowl'd	prowled
prun'd	pruned
pry'd	pried
pry'thee	prithee
publish'd	published
puff'd	puffed
pull'd	pulled
pulveriz'd	pulverised
pump'd	pumped
punch'd	punched
punish'd	punished
purchas'd	purchased
purg'd	purged
purify'd	purified
purloin'd	purloined
purpos'd	purposed
purr'd	purred
purs'd	pursed
pursu'd	pursued
push'd	pushed
putrify'd	putrified
puzzl'd	puzzled
py'd	pied
quaff'd	quaffed
quail'd	quailed
quak'd	quaked
qualifi'd	qualified
qualify'd	qualified
quarrel'd	quarrelled
quarrell'd	quarrelled
quarter'd	quartered
quell'd	quelled
quench'd	quenched
question'd	questioned
quick'ning	quickening
quicken'd	quickened
quiv'ring	quivering
quiver'd	quivered
r'd	red
rack'd	racked
rafter'd	raftered
rag'd	raged
rail'd	railed
rain'd	rained
rais'd	raised
rak'd	raked
rally'd	rallied
ramm'd	rammed
rang'd	ranged
rank'd	ranked
ransack'd	ransacked
ransom'd	ransomed
rap'd	rapped
rapp'd	rapped
rapt'rous	rapturous
raptur'd	raptured
rarify'd	rarified
ras'd	rased
ratify'd	ratified
rav'd	raved
rav'nous	ravenous
ravag'd	ravaged
ravell'd	ravelled
ravish'd	ravished
ray'd	rayed
raz'd	razed
re'd	reed
re-echo'd	re-echoed
reach'd	reached
realiz'd	realised
reap'd	reaped
rear'd	reared
reas'ning	reasoning
reason'd	reasoned
reassum'd	reassumed
rebel'd	rebelled
rebell'd	rebelled
rebellow'd	re-bellowed
rebuff'd	rebuffed
rebuk'd	rebuked
recall'd	recalled
receiv'd	received
reck'ning	reckoning
reckon'd	reckoned
reclaim'd	reclaimed
reclin'd	reclined
recogniz'd	recognised
recoil'd	recoiled
recompenc'd	recompensed
recompens'd	recompensed
reconcil'd	reconciled
recover'd	recovered
rectify'd	rectified
recurr'd	recurred
red'ning	reddening
redden'd	reddened
redeem'd	redeemed
redoubl'd	redoubled
redress'd	redressed
reduc'd	reduced
reek'd	reeked
reel'd	reeled
refer'd	referred
referr'd	referred
refin'd	refined
reform'd	reformed
refrain'd	refrained
refresh'd	refreshed
refus'd	refused
regain'd	regained
regal'd	regaled
register'd	registered
rehears'd	rehearsed
reign'd	reigned
rein'd	reined
reinforc'd	reinforced
rejoic'd	rejoiced
rejoin'd	rejoined
rejoyc'd	rejoiced
relaps'd	relapsed
relax'd	relaxed
releas'd	released
reliev'd	relieved
relinquish'd	relinquished
relish'd	relished
relum'd	relumed
rely'd	relied
remain'd	remained
remark'd	remarked
remedy'd	remedied
rememb'ring	remembering
remember'd	remembered
remov'd	removed
render'd	rendered
renew'd	renewed
renounc'd	renounced
renown'd	renowned
repair'd	repaired
repass'd	repassed
repay'd	repayed
repeal'd	repealed
repell'd	repelled
repin'd	repined
replac'd	replaced
replenish'd	replenished
reply'd	replied
repos'd	reposed
repress'd	repressed
repriev'd	reprieved
reproach'd	reproached
reprov'd	reproved
repuls'd	repulsed
requir'd	required
rescu'd	rescued
reserv'd	reserved
resign'd	resigned
resin'd	resigned
resolv'd	resolved
respir'd	respired
restor'd	restored
restrain'd	restrained
resum'd	resumed
retail'd	retailed
retain'd	retained
retir'd	retired
retrench'd	retrenched
retriev'd	retrieved
return'd	returned
rev'rence	reverence
rev'rend	reverend
reveal'd	revealed
revell'd	revelled
reveng'd	revenged
rever'd	revered
reverenc'd	reverenced
revers'd	reversed
review'd	reviewed
revil'd	reviled
revis'd	revised
reviv'd	revived
revok'd	revoked
revolv'd	revolved
rhim'd	rhymed
ribb'd	ribbed
ridicul'd	ridiculed
rifl'd	rifled
rigg'd	rigged
rip'ning	ripening
ripen'd	ripened
ripp'd	ripped
ris'n	risen
risk'd	risked
risqu'd	risked
riv'd	rived
riv'let	rivulet
rival'd	rivalled
rivall'd	rivalled
roam'd	roamed
roar'd	roared
rob'd	robed
robb'd	robbed
rock'd	rocked
rock-ribb'd	rock-ribbed
roll'd	rolled
roof'd	roofed
roul'd	rolled
rous'd	roused
rouz'd	roused
rov'd	roved
row'd	rowed
rowl'd	rolled
rows'd	roused
rowz'd	roused
rub'd	rubbed
rubb'd	rubbed
ruffl'd	ruffled
ruin'd	ruined
rul'd	ruled
rumour'd	rumoured
rush'd	rushed
s'death	sdeath
sack'd	sacked
sacrific'd	sacrificed
sadden'd	saddened
said'st	saidst
sail'd	sailed
sally'd	sallied
sam'd	samed
sanctify'd	sanctified
sanction'd	sanctioned
sap'd	sapped
sapp'd	sapped
satiriz'd	satirised
satisfi'd	satisfied
satisfy'd	satisfied
satyriz'd	satirised
saunter'd	sauntered
sav'd	saved
sav'ry	savoury
savour'd	savoured
saw'd	sawed
saw'st	sawest
say'd	said
say'st	sayest
scal'd	scaled
scamper'd	scampered
scandaliz'd	scandalised
scann'd	scanned
scap'd	escaped
scar'd	scared
scarr'd	scarred
scath'd	scathed
scatt'ring	scattering
scatter'd	scattered
scepter'd	sceptred
schem'd	schemed
school'd	schooled
scoff'd	scoffed
scoop'd	scooped
scor'd	scored
scorch'd	scorched
scorn'd	scorned
scour'd	scoured
scourg'd	scourged
scower'd	scowered
scowl'd	scowled
scrap'd	scraped
scratch'd	scratched
scrawl'd	scrawled
scream'd	screamed
screen'd	screened
screw'd	screwed
scrubb'd	scrubbed
scrutiniz'd	scrutinised
sculptur'd	sculptured
se'nnight	sennight
seal'd	sealed
seam'd	seamed
sear'd	seared
search'd	searched
season'd	seasoned
secern'd	secerned
secur'd	secured
seduc'd	seduced
see'd	saw
see'st	seest
seek'st	seekest
seem'd	seemed
seem'st	seemest
seign'd	seigned
seis'd	seized
seiz'd	seized
self-balanc'd	self-balanced
self-condemn'd	self-condemned
sentenc'd	sentenced
sep'rate	separate
sequester'd	sequestered
serv'd	served
settl'd	settled
sev'n	seven
sev'ral	several
sever'd	severed
sew'd	sewed
shadow'd	shadowed
shagg'd	shagged
shak'd	shaked
sham'd	shamed
shamm'd	shammed
shap'd	shaped
shar'd	shared
sharpen'd	sharpened
shatter'd	shattered
shav'd	shaved
she'd	she'd
shear'd	sheared
sheath'd	sheathed
sheer'd	sheered
shelt'ring	sheltering
shelter'd	sheltered
shew'd	showed
shin'd	shined
ship'd	shipped
shipp'd	shipped
shipwrack'd	shipwrecked
shipwreck'd	shipwrecked
shiv'ring	shivering
shiver'd	shivered
shock'd	shocked
short-liv'd	short-lived
shorten'd	shortened
shortliv'd	shortlived
shou'd	should
shou'dn't	shouldn't
shou'dst	shouldst
shoul'd	should
shoulder'd	shouldered
shov'd	shoved
show'd	showed
show'r	shower
show'r'd	showered
show'rs	showers
shower'd	showered
showr'd	showered
shrew'd	shrewed
shriek'd	shrieked
shrill-ton'd	shrill-toned
shrin'd	shrined
shrivel'd	shrivelled
shrivell'd	shrivelled
shrug'd	shrugged
shudd'ring	shuddering
shudder'd	shuddered
shun'd	shunned
shunn'd	shunned
sick'ning	sickening
sicken'd	sickened
siez'd	seized
sigh'd	sighed
sign'd	signed
signaliz'd	signalised
signatur'd	signatured
signify'd	signified
silenc'd	silenced
silv'ry	silvery
silver'd	silvered
simp'ring	simpering
simper'd	simpered
sin'd	sinned
sing'd	singed
singl'd	singled
sinn'd	sinned
sip'd	sipped
sipp'd	sipped
sir'd	sired
sirnam'd	surnamed
sit'st	sittest
six'd	sixed
siz'd	sized
sketch'd	sketched
skill'd	skilled
skim'd	skimmed
skimm'd	skimmed
skin'd	skinned
skip'd	skipped
skipp'd	skipped
skream'd	screamed
skreen'd	screened
skulk'd	skulked
slack'd	slacked
slacken'd	slackened
sland'rous	slanderous
slander'd	slandered
slash'd	slashed
slaught'ring	slaughtering
slaughter'd	slaughtered
slav'ry	slavery
sleep'st	sleepest
slic'd	sliced
slip'd	slipped
slipp'd	slipped
slipp'ry	slippery
slipper'd	slippered
slop'd	sloped
slouch'd	slouched
sluic'd	sluiced
slumb'ring	slumbering
slumber'd	slumbered
smack'd	smacked
smear'd	smeared
smell'd	smelled
smil'd	smiled
smoak'd	smoked
smok'd	smoked
smooth'd	smoothed
smother'd	smothered
snap'd	snapped
snapp'd	snapped
snar'd	snared
snatch'd	snatched
sneak'd	sneaked
sneer'd	sneered
snor'd	snored
snow'd	snowed
snubb'd	snubbed
snuff'd	snuffed
soak'd	soaked
soar'd	soared
sobb'd	sobbed
sober'd	sobered
soe'er	soever
soft'ning	softening
soft-ey'd	soft-eyed
soften'd	softened
soil'd	soiled
sojourn'd	sojourned
solac'd	solaced
solemniz'd	solemnised
solv'd	solved
sooth'd	soothed
sorc'd	sorced
sorrow'd	sorrowed
soul'd	souled
sour'd	soured
sous'd	soused
sov'reign	sovereign
sow'd	sowed
spar'd	spared
sparkl'd	sparkled
spatter'd	spattered
spavin'd	spavined
spawn'd	spawned
speak'st	speakest
specify'd	specified
spell'd	spelled
spher'd	sphered
spi'rit	spirit
splash'd	splashed
spoil'd	spoiled
sprain'd	sprained
spur'd	spurred
spurn'd	spurned
spurr'd	spurred
spy'd	spied
squall'd	squalled
squander'd	squandered
squar'd	squared
squeak'd	squeaked
squeez'd	squeezed
stab'd	stabbed
stabb'd	stabbed
stagg'ring	staggering
stagger'd	staggered
stain'd	stained
stak'd	staked
stalk'd	stalked
stall'd	stalled
stammer'd	stammered
stamp'd	stamped
stand'st	standest
star'd	stared
star-crown'd	star-crowned
starch'd	starched
starr'd	starred
starv'd	starved
station'd	stationed
stav'd	staved
stay'd	stayed
steam'd	steamed
steel'd	steeled
steep'd	steeped
steer'd	steered
stem'd	stemmed
stemm'd	stemmed
step'd	stepped
stepp'd	stepped
stew'd	stewed
stiffen'd	stiffened
stigmatiz'd	stigmatised
stil'd	styled
still'd	stilled
stir'd	stirred
stirr'd	stirred
stitch'd	stitched
stock'd	stocked
stol'n	stolen
ston'd	stoned
stoop'd	stooped
stop'd	stopped
stopp'd	stopped
stor'd	stored
storm'd	stormed
story'd	storied
stow'd	stowed
strain'd	strained
straiten'd	straightened
stray'd	strayed
streak'd	streaked
stream'd	streamed
streighten'd	straightened
strength'ning	strengthening
strengthen'd	strengthened
stretch'd	stretched
strew'd	strewed
strip'd	striped
stripp'd	stripped
stroak'd	stroked
strok'd	stroked
stroll'd	strolled
strow'd	strowed
struggl'd	struggled
study'd	studied
stuff'd	stuffed
stump'd	stumped
stun'd	stunned
stunn'd	stunned
stupify'd	stupified
styl'd	styled
su'd	sued
subdu'd	subdued
subjoin'd	subjoined
subjoyn'd	sub-joined
sublim'd	sublimed
suborn'd	suborned
subscrib'd	subscribed
succour'd	succoured
suck'd	sucked
suff'rer	sufferer
suff'ring	suffering
suff'rings	sufferings
suffer'd	suffered
suffic'd	sufficed
suffus'd	suffused
sugar'd	sugared
sully'd	sullied
sulph'rous	sulphurous
sum'd	summed
summ'd	summed
summon'd	summoned
sun-burn'd	sun-burned
sunder'd	sundered
superscrib'd	superscribed
supp'd	supped
suppli'd	supplied
supply'd	supplied
suppos'd	supposed
suppress'd	suppressed
surcharg'd	surcharged
surmis'd	surmised
surnam'd	surnamed
surpass'd	surpassed
surpris'd	surprised
surpriz'd	surprised
surrender'd	surrendered
surrow'd	surrowed
survey'd	surveyed
surviv'd	survived
sustain'd	sustained
swallow'd	swallowed
swarm'd	swarmed
swath'd	swathed
sway'd	swayed
sweet-ey'd	sweet-eyed
sweeten'd	sweetened
swell'd	swelled
swerv'd	swerved
swigg'd	swigged
swill'd	swilled
swoon'd	swooned
sympathiz'd	sympathised
ta'en	taken
tack'd	tacked
tail'd	tailed
tak'st	takest
talk'd	talked
talk'st	talkest
tam'd	tamed
tamper'd	tampered
tann'd	tanned
tantaliz'd	tantalised
tape-ty'd	tape-tied
taper'd	tapered
tapp'd	tapped
tarnish'd	tarnished
tarr'd	tarred
tarry'd	tarried
task'd	tasked
tatter'd	tattered
tax'd	taxed
tear-stain'd	tear-stained
teas'd	teased
teaz'd	teased
teem'd	teemed
teiz'd	teased
temp'rance	temperance
temp'rate	temperate
temper'd	tempered
tend'rest	tenderest
tender'd	tendered
term'd	termed
terrass'd	terraced
terrify'd	terrified
testify'd	testified
th'astonish'd	the-astonished
th'eternal	the-eternal
th'immortal	the-immortal
th'imprison'd	the-imprisoned
th'unhallow'd	the-unhallowed
thank'd	thanked
thatch'd	thatched
thaw'd	thawed
they'd	they'd
thick'ning	thickening
thicken'd	thickened
thin'd	thinned
think'st	thinkest
thinn'd	thinned
thrall'd	thralled
thrash'd	thrashed
threat'ning	threatening
threaten'd	threatened
threatn'd	threatened
thresh'd	threshed
thrill'd	thrilled
thriv'd	thrived
throb'd	throbbed
throbb'd	throbbed
thron'd	throned
throng'd	thronged
throw'd	throwed
thund'rer	thunderer
thund'ring	thundering
thunder'd	thundered
tickl'd	tickled
tighten'd	tightened
till'd	tilled
tim'd	timed
tim'rous	timorous
time-honour'd	time-honoured
tinctur'd	tinctured
ting'd	tinged
tinsel'd	tinseled
tinsell'd	tinselled
tip'd	tipped
tipp'd	tipped
tir'd	tired
tissu'd	tissued
toil'd	toiled
toll'd	tolled
ton'd	toned
tongu'd	tongued
tongue-ty'd	tongue-tied
topp'd	topped
tort'ring	torturing
tortur'd	tortured
toss'd	tossed
tott'ring	tottering
totter'd	tottered
touch'd	touched
tow'd	towed
tow'r	tower
tow'r'd	towered
tow'rd	toward
tow'rds	towards
tow'ring	towering
tow'rs	towers
tow'ry	towery
tower'd	towered
town's-people	townspeople
toy'd	toyed
trac'd	traced
track'd	tracked
traduc'd	traduced
traffick'd	trafficked
trail'd	trailed
train'd	trained
trait'rous	traitorous
trampl'd	trampled
transcrib'd	transcribed
transfer'd	transfered
transferr'd	transferred
transfix'd	transfixed
transform'd	transformed
transfus'd	transfused
transgress'd	transgressed
transpierc'd	transpierced
transpos'd	transposed
transvers'd	transversed
trapann'd	trepanned
trapp'd	trapped
trav'ler	traveller
travel'd	travelled
travell'd	travelled
travers'd	traversed
treach'rous	treacherous
treach'ry	treachery
treasur'd	treasured
trembl'd	trembled
trench'd	trenched
trepan'd	trepanned
trepann'd	trepanned
trespass'd	trespassed
trick'd	tricked
trill'd	trilled
trim'd	trimmed
trimm'd	trimmed
trip'd	tripped
tripp'd	tripped
triumph'd	triumphed
trophy'd	trophied
troubl'd	troubled
truck'd	trucked
trudg'd	trudged
trump'd	trumped
truss'd	trussed
try'd	tried
tuck'd	tucked
tugg'd	tugged
tumbl'd	tumbled
tun'd	tuned
turban'd	turbaned
turn'd	turned
turn'st	turnest
tutor'd	tutored
twang'd	twanged
tweak'd	tweaked
twigg'd	twigged
twin'd	twined
twirl'd	twirled
twitch'd	twitched
twou'd	twould
ty'd	tied
tyr'd	tired
tyranniz'd	tyrannised
ulcer'd	ulcered
umber'd	umbered
unabash'd	unabashed
unaccompany'd	unaccompanied
unaccomplish'd	unaccomplished
unaccustom'd	unaccustomed
unacknowledg'd	unacknowledged
unadmir'd	un-admired
unadorn'd	unadorned
unadvis'd	unadvised
unalarm'd	unalarmed
unallay'd	unallayed
unalloy'd	unalloyed
unalter'd	unaltered
unaneal'd	unanealed
unanswer'd	unanswered
unappal'd	unappalled
unappall'd	unappalled
unappeas'd	unappeased
unarm'd	unarmed
unask'd	unasked
unatton'd	unatoned
unaveng'd	unavenged
unaw'd	unawed
unbalanc'd	unbalanced
unbarr'd	unbarred
unbelov'd	unbeloved
unbiass'd	unbiassed
unblam'd	unblamed
unblemish'd	unblemished
unbless'd	unblessed
unbody'd	unbodied
unborrow'd	unborrowed
unbosom'd	unbosomed
unbrac'd	unbraced
unbrib'd	unbribed
unburthen'd	un-burthened
unbury'd	unburied
unbutton'd	unbuttoned
unbyass'd	unbiassed
uncall'd	uncalled
uncensur'd	uncensured
unchain'd	unchained
unchang'd	unchanged
uncharm'd	un-charmed
unchastis'd	unchastised
uncheck'd	unchecked
unchill'd	unchilled
uncircumscrib'd	un-circumscribed
unciviliz'd	uncivilised
unclaim'd	unclaimed
unclasp'd	unclasped
unclogg'd	unclogged
unclos'd	unclosed
uncloy'd	un-cloyed
uncomb'd	uncombed
uncompell'd	uncompelled
